,单元节点i,单元节点j,单元节点m
0,0,1,10
1,10,1,11
2,21,30,20
3,31,30,21
4,22,32,21
5,32,31,21
6,21,10,11
7,20,10,21
8,9,19,8
9,8,19,18
10,33,32,22
11,22,23,33
12,38,39,49
13,38,49,48
14,47,38,48
15,37,38,47
16,15,16,25
17,25,16,26
18,37,47,36
19,36,47,46
20,36,25,26
21,35,25,36
22,26,27,36
23,36,27,37
24,58,47,48
25,57,47,58
26,49,59,58
27,48,49,58
28,99,98,89
29,89,98,88
30,87,98,97
31,88,98,87
32,40,30,41
33,41,30,31
34,41,50,40
35,51,50,41
36,35,36,45
37,45,36,46
38,56,47,57
39,46,47,56
40,56,45,46
41,55,45,56
42,6,16,15
43,15,5,6
44,34,25,35
45,24,25,34
46,35,45,34
47,34,45,44
48,44,43,34
49,34,43,33
50,34,33,23
51,34,23,24
52,96,87,97
53,86,87,96
54,55,56,65
55,65,56,66
56,75,74,65
57,65,74,64
58,66,76,65
59,65,76,75
60,16,6,17
61,17,6,7
62,7,8,17
63,17,8,18
64,17,27,26
65,26,16,17
66,27,17,28
67,28,17,18
68,28,19,29
69,18,19,28
70,29,39,28
71,39,38,28
72,37,27,28
73,28,38,37
74,60,50,61
75,61,50,51
76,61,70,60
77,61,71,70
78,54,45,55
79,44,45,54
80,55,65,54
81,54,65,64
82,42,31,32
83,42,41,31
84,32,33,42
85,33,43,42
86,15,25,14
87,14,25,24
88,4,5,14
89,14,5,15
90,24,23,14
91,23,13,14
92,14,3,4
93,14,13,3
94,12,1,2
95,11,1,12
96,22,21,12
97,12,21,11
98,2,3,12
99,3,13,12
100,12,23,22
101,12,13,23
102,94,93,84
103,84,93,83
104,83,73,84
105,73,74,84
106,78,89,88
107,78,79,89
108,70,71,81
109,81,80,70
110,81,91,90
111,90,80,81
112,53,43,44
113,44,54,53
114,75,76,85
115,85,76,86
116,85,96,95
117,86,96,85
118,85,74,75
119,85,84,74
120,85,95,94
121,94,84,85
122,66,56,67
123,67,56,57
124,82,93,92
125,83,93,82
126,82,73,83
127,72,73,82
128,92,91,82
129,91,81,82
130,82,81,71
131,82,71,72
132,71,61,62
133,72,71,62
134,69,79,68
135,79,78,68
136,68,59,69
137,68,58,59
138,57,58,68
139,68,67,57
140,67,68,77
141,77,68,78
142,77,87,86
143,86,76,77
144,88,87,77
145,77,78,88
146,77,76,66
147,66,67,77
148,63,54,64
149,63,53,54
150,63,74,73
151,64,74,63
152,63,73,72
153,72,62,63
154,52,63,62
155,53,63,52
156,51,41,52
157,41,42,52
158,52,42,43
159,43,53,52
160,52,61,51
161,52,62,61
