,epsilonx,epsilony,epsilonxy
0,-5.608157981847255e-07,-7.012504047306445e-08,-7.077411778586476e-07
1,-9.077990469505522e-08,-6.632472514170627e-08,-2.3390496903761908e-07
2,-1.5810328962181683e-08,-6.0494501698883606e-09,-2.0544484183803566e-08
3,5.047119934548273e-09,-4.696537085014266e-08,-4.0602955967327936e-08
4,-4.925820482285355e-08,-2.8242906887795455e-08,-1.0611246969335809e-07
5,-1.67331542988954e-08,-4.696537085014266e-08,-1.1991505625496908e-07
6,-9.077990469505522e-08,-3.2911217576678046e-08,-1.22331376062646e-07
7,-1.5810328962181683e-08,-7.2787778366101e-08,-1.574243910060966e-07
8,1.5363509896633896e-10,1.536350989686683e-10,5.121169965581337e-10
9,-2.2911525290396787e-09,-1.6180866437372869e-09,4.72862636727053e-09
10,-3.324856026430607e-08,-2.8242906887795455e-08,-1.565551730065477e-07
11,-6.626723371779112e-08,-1.2131254350742936e-08,-1.3964815209011507e-07
12,1.1430189499477582e-08,-8.084346688937872e-08,-6.351466382824585e-08
13,1.2067623315055819e-08,-6.806026887649541e-08,-7.693529565670748e-08
14,1.1008047429492688e-08,-6.806026887649541e-08,-1.5873672487704002e-07
15,-6.729839978991793e-09,-3.7481807779158324e-08,-1.4589615118818744e-07
16,-6.705496198908498e-08,1.4817080563636653e-08,-1.2852873811345136e-07
17,-5.097904115277543e-08,2.3656266227176614e-09,-1.2490427121806122e-07
18,-2.003379272922114e-08,-3.7481807779158324e-08,-1.7869190121759115e-07
19,-2.3416156250821053e-08,-1.6556168851103583e-08,-1.9623517662404563e-07
20,-5.097904115277543e-08,-5.2629337855301834e-09,-1.6506348420508786e-07
21,-4.1320247327198714e-08,-1.821251083625059e-09,-1.7816396073256954e-07
22,-3.288286015558821e-08,-5.2629337855301834e-09,-1.5134451994012881e-07
23,-2.003379272922114e-08,-2.286103585432593e-08,-1.560935545825577e-07
24,1.1008047429492688e-08,-9.873580483412106e-08,-1.6156226057187405e-07
25,5.423861708734511e-09,-5.4554870313511305e-08,-2.0015900937172556e-07
26,2.5984304471179885e-08,-1.4324304326039458e-07,-1.1035138862169093e-07
27,1.2067623315055819e-08,-9.873580483412106e-08,-7.976083135154167e-08
28,3.5923127299406074e-07,-7.657687270059395e-07,-4.4743757664686835e-07
29,-2.406567189066361e-08,-7.324153691670935e-08,-1.3820733144236235e-07
30,2.0725770009412398e-07,-7.491319236483351e-08,-7.353784252419361e-08
31,4.91483660403448e-08,-7.324153691670935e-08,8.289983608146162e-08
32,-3.0381434939111383e-09,1.818600656893191e-09,-2.741982138660908e-09
33,5.047119934548273e-09,-2.0115341693956767e-08,1.1106696783729653e-08
34,-3.0381434939111383e-09,-2.3287327502798424e-09,1.380153789112294e-08
35,-4.7161418590593685e-09,2.042540933355014e-10,1.4656526369590053e-08
36,-4.1320247327198714e-08,1.9547633391884746e-09,-1.924098831958669e-07
37,-2.3782446725391072e-08,-1.6556168851103583e-08,-1.9338301478435095e-07
38,-5.325207739159225e-09,-5.455487031351173e-08,-2.1818926486352923e-07
39,-2.3416156250821053e-08,-1.54866081612194e-08,-1.9721195122289935e-07
40,-2.3782446725391072e-08,-1.54866081612194e-08,-1.943597893832044e-07
41,-2.1622189281945826e-08,-2.8525546067282733e-09,-2.091541003811411e-07
42,-6.705496198908498e-08,1.1508439608040937e-08,-5.289978717442412e-08
43,-7.1687677280363e-08,1.7933595345233126e-08,-5.110734672850974e-08
44,-4.666246825093502e-08,-1.821251083625059e-09,-1.680945889383994e-07
45,-6.902819573241361e-08,9.48105704459001e-09,-1.7915800829166346e-07
46,-4.666246825093502e-08,1.9547633391884746e-09,-1.8234051140169672e-07
47,-3.050276685407493e-08,-2.4865531422121806e-09,-1.9405889631715576e-07
48,-2.610691244937878e-08,-2.4865531422121806e-09,-1.5050967090700977e-07
49,-4.4183607705445644e-08,-5.315462793674477e-09,-1.7141527581453906e-07
50,-4.4183607705445644e-08,-1.2131254350742936e-08,-1.8118687133125836e-07
51,-8.007179485691046e-08,9.48105704459001e-09,-1.669109955751265e-07
52,2.191988297081774e-07,-7.491319236483309e-08,4.1694830220044385e-08
53,8.392714291749502e-08,-1.3001342708027768e-08,-3.1665006913831614e-08
54,-2.1622189281945826e-08,9.737469118472762e-09,-1.8176470045653335e-07
55,6.122308019665735e-09,-1.9856445796416682e-08,-1.8361411806981118e-07
56,5.9241302738911314e-08,-5.420046380019068e-09,-1.15090863059374e-07
57,9.617327352999122e-09,2.0423323094953086e-08,-1.3887146897031426e-07
58,6.122308019665735e-09,-9.147991779679181e-09,-1.260636653671555e-07
59,3.4389851100962484e-08,-5.420046380019068e-09,-1.5805915384811246e-07
60,-4.083149634402773e-08,1.1508439608040937e-08,-4.191555324381924e-08
61,-3.197229297278975e-08,1.2950687423026118e-09,-4.056138574931847e-08
62,-9.272252559187216e-09,1.2950687423026118e-09,-1.9972055353617385e-08
63,-1.5490412846323187e-08,-1.6180866437372869e-09,-2.910337102679368e-08
64,-3.288286015558821e-08,-7.351096983848013e-09,-1.0323667076466234e-07
65,-4.083149634402773e-08,2.3656266227176614e-09,-1.014685833465367e-07
66,-1.4161410103177184e-08,-7.351096983848013e-09,-7.258438996536214e-08
67,-1.5490412846323187e-08,-1.4305085666512583e-08,-6.430139853955168e-08
68,1.3481310038764383e-09,-9.797779419094947e-09,-2.2322811365154246e-08
69,-2.2911525290396787e-09,-1.4305085666512583e-08,-3.046940114548842e-08
70,1.3481310038764383e-09,-3.505742771997772e-08,-4.503625077052934e-08
71,1.1430189499477582e-08,-3.8315668693018426e-08,-5.18600682930901e-08
72,-1.4161410103177184e-08,-2.286103585432593e-08,-1.0784317171446176e-07
73,-6.729839978991793e-09,-3.8315668693018426e-08,-1.1586623442896855e-07
74,1.111822739912895e-08,-1.5202813941672855e-08,2.713296340456216e-08
75,-4.7161418590593685e-09,1.7527742508979068e-08,1.0236776212098502e-08
76,1.111822739912895e-08,-2.2822380243006678e-08,-6.814119934337989e-09
77,-7.711370589418147e-10,4.319791126634412e-08,4.7316807116942044e-08
78,-1.135116431021816e-08,-2.8525546067282733e-09,-1.755807037806038e-07
79,-3.050276685407493e-08,9.229722813088825e-09,-1.8265002890464356e-07
80,-1.1351164310218187e-08,9.737469118472762e-09,-1.4819130385599648e-07
81,9.617327352999122e-09,7.821065769848789e-09,-1.672433921705896e-07
82,-1.67331542988954e-08,-1.2470047448205542e-08,-5.895097645853729e-08
83,-7.478727253521235e-09,-2.0115341693956767e-08,-6.056010925816022e-08
84,-3.324856026430607e-08,-1.2470047448205542e-08,-1.2811614373407417e-07
85,-1.8897320566575253e-08,-5.315462793674477e-09,-1.0661031938181219e-07
86,-9.568641152486263e-08,1.4817080563636653e-08,-1.3297884812163813e-07
87,-6.902819573241361e-08,4.888427275889428e-09,-1.4970841062633982e-07
88,-1.1854587270555406e-07,3.573143824239631e-08,-6.704423075741738e-08
89,-9.568641152486263e-08,1.7933595345233126e-08,-6.198261247388849e-08
90,-8.007179485691046e-08,4.888427275889428e-09,-1.3746139790980296e-07
91,-1.244024147541454e-07,1.6117008752461732e-08,-1.705634363304655e-07
